,measure_year,measure_month,measure_day,lobith_waterlevel
19765,1824.0,11.0,13.0,1516.0
19766,1824.0,11.0,14.0,1531.0
19767,1824.0,11.0,15.0,1545.0
19768,1824.0,11.0,16.0,1550.0
19769,1824.0,11.0,17.0,1566.0
19770,1824.0,11.0,18.0,1579.0
19771,1824.0,11.0,19.0,1579.0
19772,1824.0,11.0,20.0,1566.0
19773,1824.0,11.0,21.0,1542.0
19774,1824.0,11.0,22.0,1521.0
19775,1824.0,11.0,23.0,1501.0
19776,1824.0,11.0,24.0,1474.0
19777,1824.0,11.0,25.0,1453.0
19778,1824.0,11.0,26.0,1457.0
19779,1824.0,11.0,27.0,1472.0
19780,1824.0,11.0,28.0,1464.0
19781,1824.0,11.0,29.0,1480.0
19782,1824.0,11.0,30.0,1461.0
19783,1824.0,12.0,1.0,1446.0
19784,1824.0,12.0,2.0,1433.0
19785,1824.0,12.0,3.0,1419.0
19786,1824.0,12.0,4.0,1406.0
19787,1824.0,12.0,5.0,1406.0
20605,1827.0,3.0,3.0,1464.0
20606,1827.0,3.0,4.0,1472.0
20607,1827.0,3.0,5.0,1492.0
20608,1827.0,3.0,6.0,1507.0
20609,1827.0,3.0,7.0,1497.0
20610,1827.0,3.0,8.0,1487.0
20611,1827.0,3.0,9.0,1466.0
20612,1827.0,3.0,10.0,1446.0
20613,1827.0,3.0,11.0,1427.0
20614,1827.0,3.0,12.0,1402.0
20615,1827.0,3.0,13.0,1374.0
20625,1827.0,3.0,23.0,1478.0
20626,1827.0,3.0,24.0,1476.0
20627,1827.0,3.0,25.0,1480.0
20628,1827.0,3.0,26.0,1484.0
20629,1827.0,3.0,27.0,1479.0
20630,1827.0,3.0,28.0,1457.0
20631,1827.0,3.0,29.0,1437.0
20632,1827.0,3.0,30.0,1414.0
20633,1827.0,3.0,31.0,1414.0
21537,1829.0,9.0,20.0,1356.0
21538,1829.0,9.0,21.0,1390.0
21539,1829.0,9.0,22.0,1402.0
21540,1829.0,9.0,23.0,1395.0
21541,1829.0,9.0,24.0,1380.0
21542,1829.0,9.0,25.0,1362.0
21543,1829.0,9.0,26.0,1345.0
21544,1829.0,9.0,27.0,1331.0
