,measure_year,measure_month,measure_day
0,1770.0,1.0,1.0
1,1770.0,1.0,2.0
2,1770.0,1.0,3.0
3,1770.0,1.0,4.0
4,1770.0,1.0,5.0
5,1770.0,1.0,6.0
6,1770.0,1.0,7.0
7,1770.0,1.0,8.0
8,1770.0,1.0,9.0
9,1770.0,1.0,10.0
10,1770.0,1.0,11.0
11,1770.0,1.0,12.0
12,1770.0,1.0,13.0
13,1770.0,1.0,14.0
14,1770.0,1.0,15.0
15,1770.0,1.0,16.0
16,1770.0,1.0,17.0
17,1770.0,1.0,18.0
18,1770.0,1.0,19.0
19,1770.0,1.0,20.0
20,1770.0,1.0,21.0
21,1770.0,1.0,22.0
22,1770.0,1.0,23.0
23,1770.0,1.0,24.0
24,1770.0,1.0,25.0
25,1770.0,1.0,26.0
26,1770.0,1.0,27.0
27,1770.0,1.0,28.0
28,1770.0,1.0,29.0
29,1770.0,1.0,30.0
30,1770.0,1.0,31.0
31,1770.0,2.0,1.0
32,1770.0,2.0,2.0
33,1770.0,2.0,3.0
34,1770.0,2.0,4.0
35,1770.0,2.0,5.0
36,1770.0,2.0,6.0
37,1770.0,2.0,7.0
38,1770.0,2.0,8.0
39,1770.0,2.0,9.0
40,1770.0,2.0,10.0
41,1770.0,2.0,11.0
42,1770.0,2.0,12.0
43,1770.0,2.0,13.0
44,1770.0,2.0,14.0
45,1770.0,2.0,15.0
46,1770.0,2.0,16.0
47,1770.0,2.0,17.0
48,1770.0,2.0,18.0
49,1770.0,2.0,19.0
50,1770.0,2.0,20.0
51,1770.0,2.0,21.0
52,1770.0,2.0,22.0
53,1770.0,2.0,23.0
54,1770.0,2.0,24.0
55,1770.0,2.0,25.0
56,1770.0,2.0,26.0
57,1770.0,2.0,27.0
58,1770.0,2.0,28.0
59,1770.0,3.0,1.0
60,1770.0,3.0,2.0
61,1770.0,3.0,3.0
62,1770.0,3.0,4.0
63,1770.0,3.0,5.0
64,1770.0,3.0,6.0
65,1770.0,3.0,7.0
66,1770.0,3.0,8.0
67,1770.0,3.0,9.0
68,1770.0,3.0,10.0
69,1770.0,3.0,11.0
70,1770.0,3.0,12.0
71,1770.0,3.0,13.0
72,1770.0,3.0,14.0
73,1770.0,3.0,15.0
74,1770.0,3.0,16.0
75,1770.0,3.0,17.0
76,1770.0,3.0,18.0
77,1770.0,3.0,19.0
78,1770.0,3.0,20.0
79,1770.0,3.0,21.0
80,1770.0,3.0,22.0
81,1770.0,3.0,23.0
82,1770.0,3.0,24.0
83,1770.0,3.0,25.0
84,1770.0,3.0,26.0
85,1770.0,3.0,27.0
86,1770.0,3.0,28.0
87,1770.0,3.0,29.0
88,1770.0,3.0,30.0
89,1770.0,3.0,31.0
90,1770.0,4.0,1.0
91,1770.0,4.0,2.0
92,1770.0,4.0,3.0
93,1770.0,4.0,4.0
94,1770.0,4.0,5.0
95,1770.0,4.0,6.0
96,1770.0,4.0,7.0
97,1770.0,4.0,8.0
98,1770.0,4.0,9.0
99,1770.0,4.0,10.0
100,1770.0,4.0,11.0
101,1770.0,4.0,12.0
102,1770.0,4.0,13.0
103,1770.0,4.0,14.0
104,1770.0,4.0,15.0
105,1770.0,4.0,16.0
106,1770.0,4.0,17.0
107,1770.0,4.0,18.0
108,1770.0,4.0,19.0
109,1770.0,4.0,20.0
110,1770.0,4.0,21.0
111,1770.0,4.0,22.0
112,1770.0,4.0,23.0
113,1770.0,4.0,24.0
114,1770.0,4.0,25.0
115,1770.0,4.0,26.0
116,1770.0,4.0,27.0
117,1770.0,4.0,28.0
118,1770.0,4.0,29.0
119,1770.0,4.0,30.0
120,1770.0,5.0,1.0
121,1770.0,5.0,2.0
122,1770.0,5.0,3.0
123,1770.0,5.0,4.0
124,1770.0,5.0,5.0
125,1770.0,5.0,6.0
126,1770.0,5.0,7.0
127,1770.0,5.0,8.0
128,1770.0,5.0,9.0
129,1770.0,5.0,10.0
130,1770.0,5.0,11.0
131,1770.0,5.0,12.0
132,1770.0,5.0,13.0
133,1770.0,5.0,14.0
134,1770.0,5.0,15.0
135,1770.0,5.0,16.0
136,1770.0,5.0,17.0
137,1770.0,5.0,18.0
138,1770.0,5.0,19.0
139,1770.0,5.0,20.0
140,1770.0,5.0,21.0
141,1770.0,5.0,22.0
142,1770.0,5.0,23.0
143,1770.0,5.0,24.0
144,1770.0,5.0,25.0
145,1770.0,5.0,26.0
146,1770.0,5.0,27.0
147,1770.0,5.0,28.0
148,1770.0,5.0,29.0
149,1770.0,5.0,30.0
150,1770.0,5.0,31.0
151,1770.0,6.0,1.0
152,1770.0,6.0,2.0
153,1770.0,6.0,3.0
154,1770.0,6.0,4.0
155,1770.0,6.0,5.0
156,1770.0,6.0,6.0
157,1770.0,6.0,7.0
158,1770.0,6.0,8.0
159,1770.0,6.0,9.0
160,1770.0,6.0,10.0
161,1770.0,6.0,11.0
162,1770.0,6.0,12.0
163,1770.0,6.0,13.0
164,1770.0,6.0,14.0
165,1770.0,6.0,15.0
166,1770.0,6.0,16.0
167,1770.0,6.0,17.0
168,1770.0,6.0,18.0
169,1770.0,6.0,19.0
170,1770.0,6.0,20.0
171,1770.0,6.0,21.0
172,1770.0,6.0,22.0
173,1770.0,6.0,23.0
174,1770.0,6.0,24.0
175,1770.0,6.0,25.0
176,1770.0,6.0,26.0
177,1770.0,6.0,27.0
178,1770.0,6.0,28.0
179,1770.0,6.0,29.0
180,1770.0,6.0,30.0
181,1770.0,7.0,1.0
182,1770.0,7.0,2.0
183,1770.0,7.0,3.0
184,1770.0,7.0,4.0
185,1770.0,7.0,5.0
186,1770.0,7.0,6.0
187,1770.0,7.0,7.0
188,1770.0,7.0,8.0
189,1770.0,7.0,9.0
190,1770.0,7.0,10.0
191,1770.0,7.0,11.0
192,1770.0,7.0,12.0
193,1770.0,7.0,13.0
194,1770.0,7.0,14.0
195,1770.0,7.0,15.0
196,1770.0,7.0,16.0
197,1770.0,7.0,17.0
198,1770.0,7.0,18.0
199,1770.0,7.0,19.0
200,1770.0,7.0,20.0
201,1770.0,7.0,21.0
202,1770.0,7.0,22.0
203,1770.0,7.0,23.0
204,1770.0,7.0,24.0
205,1770.0,7.0,25.0
206,1770.0,7.0,26.0
207,1770.0,7.0,27.0
208,1770.0,7.0,28.0
209,1770.0,7.0,29.0
210,1770.0,7.0,30.0
211,1770.0,7.0,31.0
212,1770.0,8.0,1.0
213,1770.0,8.0,2.0
214,1770.0,8.0,3.0
215,1770.0,8.0,4.0
216,1770.0,8.0,5.0
217,1770.0,8.0,6.0
218,1770.0,8.0,7.0
219,1770.0,8.0,8.0
220,1770.0,8.0,9.0
221,1770.0,8.0,10.0
222,1770.0,8.0,11.0
223,1770.0,8.0,12.0
224,1770.0,8.0,13.0
225,1770.0,8.0,14.0
226,1770.0,8.0,15.0
227,1770.0,8.0,16.0
228,1770.0,8.0,17.0
229,1770.0,8.0,18.0
230,1770.0,8.0,19.0
231,1770.0,8.0,20.0
232,1770.0,8.0,21.0
233,1770.0,8.0,22.0
234,1770.0,8.0,23.0
235,1770.0,8.0,24.0
236,1770.0,8.0,25.0
237,1770.0,8.0,26.0
238,1770.0,8.0,27.0
239,1770.0,8.0,28.0
240,1770.0,8.0,29.0
241,1770.0,8.0,30.0
242,1770.0,8.0,31.0
243,1770.0,9.0,1.0
244,1770.0,9.0,2.0
245,1770.0,9.0,3.0
246,1770.0,9.0,4.0
247,1770.0,9.0,5.0
248,1770.0,9.0,6.0
249,1770.0,9.0,7.0
250,1770.0,9.0,8.0
251,1770.0,9.0,9.0
252,1770.0,9.0,10.0
253,1770.0,9.0,11.0
254,1770.0,9.0,12.0
255,1770.0,9.0,13.0
256,1770.0,9.0,14.0
257,1770.0,9.0,15.0
258,1770.0,9.0,16.0
259,1770.0,9.0,17.0
260,1770.0,9.0,18.0
261,1770.0,9.0,19.0
262,1770.0,9.0,20.0
263,1770.0,9.0,21.0
264,1770.0,9.0,22.0
265,1770.0,9.0,23.0
266,1770.0,9.0,24.0
267,1770.0,9.0,25.0
