measure_year,measure_month,measure_day,measure_value,quantity_id,location_id
2021,2,1,1095.9,5,3
2021,2,2,1145.2,5,3
2021,2,3,1209.7,5,3
2021,2,4,1247.0,5,3
2021,2,5,1289.7,5,3
2021,2,6,1346.2,5,3
2021,2,7,1377.7,5,3
2021,2,8,1391.4,5,3
2021,2,9,1392.2,5,3
2021,2,10,1324.4,5,3
2021,2,11,1188.3,5,3
2021,2,12,1063.3,5,3
2021,2,13,941.1,5,3
2021,2,14,735.8,5,3
2021,2,15,608.7,5,3
2021,2,16,545.3,5,3
2021,2,17,510.3,5,3
2021,2,18,483.1,5,3
2021,2,19,471.2,5,3
2021,2,20,466.5,5,3
2021,2,21,464.8,5,3
2021,2,22,459.7,5,3
2021,2,23,447.4,5,3
2021,2,24,417.9,5,3
2021,2,25,374.2,5,3
2021,2,26,343.6,5,3
2021,2,27,313.5,5,3
2021,2,28,281.2,5,3
2021,3,1,249.0,5,3
2021,3,2,213.4,5,3
2021,3,3,185.7,5,3
2021,3,4,149.3,5,3
2021,3,5,135.9,5,3
2021,3,6,113.4,5,3
2021,3,7,73.7,5,3
2021,3,8,67.6,5,3
2021,3,9,70.5,5,3
2021,3,10,58.9,5,3
2021,3,11,52.0,5,3
2021,3,12,35.5,5,3
2021,3,13,34.3,5,3
2021,3,14,70.5,5,3
2021,3,15,146.4,5,3
2021,3,16,262.1,5,3
2021,3,17,328.8,5,3
2021,3,18,366.9,5,3
2021,3,19,384.8,5,3
2021,3,20,384.6,5,3
2021,3,21,371.9,5,3
2021,3,22,353.9,5,3
2021,3,23,308.8,5,3
2021,3,24,251.0,5,3
2021,3,25,201.8,5,3
2021,3,26,152.3,5,3
2021,3,27,82.5,5,3
2021,3,28,64.6,5,3
2021,3,29,40.0,5,3
2021,3,30,32.3,5,3
2021,3,31,31.7,5,3
2021,4,1,27.3,5,3
2021,4,2,25.1,5,3
2021,4,3,23.3,5,3
2021,4,4,41.2,5,3
2021,4,5,36.0,5,3
2021,4,6,32.4,5,3
2021,4,7,30.6,5,3
2021,4,8,23.0,5,3
2021,4,9,26.5,5,3
2021,4,10,22.6,5,3
2021,4,11,21.8,5,3
2021,4,12,26.1,5,3
2021,4,13,36.5,5,3
2021,4,14,41.3,5,3
2021,4,15,54.7,5,3
2021,4,16,48.3,5,3
2021,4,17,31.6,5,3
2021,4,18,32.9,5,3
2021,4,19,31.0,5,3
2021,4,20,30.5,5,3
2021,4,21,27.9,5,3
2021,4,22,32.8,5,3
2021,4,23,29.8,5,3
2021,4,24,26.1,5,3
2021,4,25,27.6,5,3
2021,4,26,28.9,5,3
2021,4,27,30.9,5,3
2021,4,28,28.2,5,3
2021,4,29,26.2,5,3
2021,4,30,25.8,5,3
2021,5,1,24.5,5,3
2021,5,2,24.5,5,3
2021,5,3,25.9,5,3
2021,5,4,29.0,5,3
2021,5,5,31.3,5,3
2021,5,6,33.6,5,3
2021,5,7,33.7,5,3
2021,5,8,30.4,5,3
2021,5,9,31.8,5,3
2021,5,10,35.1,5,3
2021,5,11,81.0,5,3
2021,5,12,157.9,5,3
2021,5,13,126.8,5,3
2021,5,14,126.8,5,3
2021,5,15,146.7,5,3
2021,5,16,205.5,5,3
2021,5,17,237.4,5,3
2021,5,18,242.4,5,3
2021,5,19,276.8,5,3
2021,5,20,288.2,5,3
2021,5,21,325.3,5,3
2021,5,22,383.9,5,3
