measure_year,measure_month,measure_day,measure_value,quantity_id,location_id
1978,5,11,,8,7
1978,5,12,,8,7
1978,5,13,,8,7
1978,5,14,,8,7
1978,5,15,,8,7
1978,5,16,,8,7
1978,5,17,,8,7
1978,5,18,,8,7
1978,5,19,,8,7
1978,5,20,,8,7
1978,5,21,,8,7
1978,5,22,,8,7
1978,5,23,,8,7
1978,5,24,,8,7
1978,5,25,,8,7
1978,5,26,,8,7
1978,5,27,,8,7
1978,5,28,,8,7
1978,5,29,,8,7
1978,5,30,,8,7
1978,5,31,,8,7
1978,6,1,,8,7
1978,6,2,,8,7
1978,6,3,,8,7
1978,6,4,,8,7
1978,6,5,,8,7
1978,6,6,,8,7
1978,6,7,,8,7
1978,6,8,,8,7
1978,6,9,,8,7
1978,6,10,,8,7
1978,6,11,,8,7
1978,6,12,,8,7
1978,6,13,,8,7
1978,6,14,,8,7
1978,6,15,,8,7
1978,6,16,,8,7
1978,6,17,,8,7
1978,6,18,,8,7
1978,6,19,,8,7
1978,6,20,,8,7
1978,6,21,,8,7
1978,6,22,,8,7
1978,6,23,,8,7
1978,6,24,,8,7
1978,6,25,,8,7
1978,6,26,,8,7
1978,6,27,316.0,8,7
1978,6,28,,8,7
1978,6,29,209.0,8,7
1978,6,30,,8,7
1978,7,1,,8,7
1978,7,2,,8,7
1978,7,3,,8,7
1978,7,4,,8,7
1978,7,5,,8,7
1978,7,6,,8,7
1978,7,7,,8,7
1978,7,8,,8,7
1978,7,9,,8,7
1978,7,10,,8,7
1978,7,11,,8,7
1978,7,12,,8,7
1978,7,13,,8,7
1978,7,14,,8,7
1978,7,15,,8,7
1978,7,16,,8,7
1978,7,17,,8,7
1978,7,18,,8,7
1978,7,19,,8,7
1978,7,20,249.0,8,7
1978,7,21,,8,7
1978,7,22,,8,7
1978,7,23,,8,7
1978,7,24,,8,7
1978,7,25,,8,7
1978,7,26,,8,7
1978,7,27,,8,7
1978,7,28,,8,7
1978,7,29,,8,7
1978,7,30,,8,7
1978,7,31,,8,7
1978,8,1,,8,7
1978,8,2,211.0,8,7
1978,8,3,,8,7
1978,8,4,,8,7
1978,8,5,,8,7
1978,8,6,,8,7
1978,8,7,,8,7
1978,8,8,,8,7
1978,8,9,,8,7
1978,8,10,,8,7
1978,8,11,,8,7
1978,8,12,,8,7
1978,8,13,,8,7
1978,8,14,,8,7
1978,8,15,,8,7
1978,8,16,,8,7
1978,8,17,,8,7
1978,8,18,,8,7
1978,8,19,,8,7
1978,8,20,,8,7
1978,8,21,,8,7
1978,8,22,,8,7
1978,8,23,,8,7
1978,8,24,,8,7
1978,8,25,,8,7
1978,8,26,,8,7
1978,8,27,,8,7
1978,8,28,,8,7
1978,8,29,,8,7
1978,8,30,,8,7
1978,8,31,,8,7
1978,9,1,,8,7
1978,9,2,,8,7
1978,9,3,,8,7
1978,9,4,,8,7
1978,9,5,,8,7
1978,9,6,,8,7
1978,9,7,,8,7
1978,9,8,,8,7
1978,9,9,,8,7
1978,9,10,,8,7
1978,9,11,,8,7
1978,9,12,326.0,8,7
1978,9,13,,8,7
1978,9,14,,8,7
1978,9,15,,8,7
1978,9,16,,8,7
1978,9,17,,8,7
1978,9,18,,8,7
1978,9,19,,8,7
1978,9,20,,8,7
1978,9,21,,8,7
1978,9,22,247.0,8,7
1978,9,23,,8,7
1978,9,24,,8,7
1978,9,25,,8,7
1978,9,26,,8,7
1978,9,27,,8,7
1978,9,28,,8,7
1978,9,29,,8,7
1978,9,30,,8,7
1978,10,1,,8,7
1978,10,2,,8,7
1978,10,3,,8,7
1978,10,4,346.0,8,7
1978,10,5,263.0,8,7
1978,10,6,,8,7
1978,10,7,,8,7
1978,10,8,,8,7
1978,10,9,,8,7
1978,10,10,,8,7
1978,10,11,,8,7
1978,10,12,,8,7
1978,10,13,,8,7
1978,10,14,,8,7
1978,10,15,,8,7
1978,10,16,,8,7
1978,10,17,,8,7
1978,10,18,,8,7
1978,10,19,,8,7
1978,10,20,,8,7
1978,10,21,,8,7
1978,10,22,,8,7
1978,10,23,,8,7
1978,10,24,,8,7
1978,10,25,,8,7
1978,10,26,,8,7
1978,10,27,,8,7
1978,10,28,,8,7
1978,10,29,,8,7
1978,10,30,,8,7
1978,10,31,,8,7
1978,11,1,,8,7
1978,11,2,,8,7
1978,11,3,,8,7
1978,11,4,,8,7
1978,11,5,,8,7
1978,11,6,,8,7
1978,11,7,,8,7
1978,11,8,,8,7
1978,11,9,,8,7
1978,11,10,,8,7
1978,11,11,,8,7
1978,11,12,,8,7
1978,11,13,,8,7
1978,11,14,,8,7
1978,11,15,,8,7
1978,11,16,,8,7
1978,11,17,,8,7
1978,11,18,,8,7
1978,11,19,,8,7
1978,11,20,,8,7
1978,11,21,,8,7
1978,11,22,,8,7
1978,11,23,,8,7
1978,11,24,,8,7
1978,11,25,,8,7
1978,11,26,,8,7
1978,11,27,,8,7
1978,11,28,,8,7
1978,11,29,,8,7
1978,11,30,,8,7
1978,12,1,,8,7
1978,12,2,,8,7
1978,12,3,,8,7
1978,12,4,,8,7
1978,12,5,,8,7
1978,12,6,,8,7
1978,12,7,,8,7
1978,12,8,,8,7
1978,12,9,,8,7
1978,12,10,,8,7
1978,12,11,,8,7
1978,12,12,,8,7
1978,12,13,,8,7
1978,12,14,221.0,8,7
1978,12,15,,8,7
1978,12,16,,8,7
1978,12,17,,8,7
1978,12,18,,8,7
1978,12,19,,8,7
1978,12,20,,8,7
1978,12,21,,8,7
1978,12,22,,8,7
1978,12,23,,8,7
1978,12,24,,8,7
1978,12,25,,8,7
1978,12,26,,8,7
1978,12,27,,8,7
1978,12,28,,8,7
1978,12,29,,8,7
1978,12,30,,8,7
1978,12,31,,8,7
1979,1,1,,8,7
1979,1,2,,8,7
1979,1,3,,8,7
1979,1,4,,8,7
1979,1,5,,8,7
1979,1,6,,8,7
1979,1,7,,8,7
1979,1,8,,8,7
1979,1,9,,8,7
1979,1,10,,8,7
1979,1,11,,8,7
1979,1,12,318.0,8,7
1979,1,13,,8,7
1979,1,14,,8,7
1979,1,15,,8,7
1979,1,16,,8,7
1979,1,17,,8,7
1979,1,18,,8,7
1979,1,19,,8,7
1979,1,20,,8,7
1979,1,21,,8,7
1979,1,22,,8,7
1979,1,23,,8,7
1979,1,24,,8,7
1979,1,25,,8,7
1979,1,26,,8,7
1979,1,27,,8,7
1979,1,28,,8,7
1979,1,29,,8,7
1979,1,30,201.0,8,7
1979,1,31,,8,7
1979,2,1,,8,7
1979,2,2,278.0,8,7
1979,2,3,,8,7
1979,2,4,,8,7
1979,2,5,,8,7
1979,2,6,,8,7
1979,2,7,,8,7
1979,2,8,,8,7
1979,2,9,,8,7
1979,2,10,,8,7
1979,2,11,,8,7
1979,2,12,,8,7
1979,2,13,,8,7
1979,2,14,,8,7
1979,2,15,,8,7
1979,2,16,,8,7
1979,2,17,,8,7
1979,2,18,,8,7
1979,2,19,,8,7
1979,2,20,,8,7
1979,2,21,,8,7
1979,2,22,,8,7
1979,2,23,,8,7
1979,2,24,,8,7
1979,2,25,,8,7
1979,2,26,,8,7
1979,2,27,,8,7
1979,2,28,,8,7
1979,3,1,234.0,8,7
1979,3,2,207.0,8,7
1979,3,3,,8,7
1979,3,4,,8,7
1979,3,5,,8,7
1979,3,6,,8,7
1979,3,7,,8,7
1979,3,8,,8,7
1979,3,9,,8,7
1979,3,10,,8,7
1979,3,11,,8,7
1979,3,12,,8,7
1979,3,13,,8,7
1979,3,14,,8,7
1979,3,15,,8,7
1979,3,16,,8,7
1979,3,17,,8,7
1979,3,18,,8,7
1979,3,19,,8,7
1979,3,20,,8,7
1979,3,21,,8,7
1979,3,22,,8,7
1979,3,23,283.0,8,7
1979,3,24,,8,7
1979,3,25,,8,7
1979,3,26,,8,7
1979,3,27,,8,7
1979,3,28,,8,7
1979,3,29,,8,7
1979,3,30,,8,7
1979,3,31,,8,7
1979,4,1,,8,7
1979,4,2,,8,7
1979,4,3,,8,7
1979,4,4,,8,7
1979,4,5,,8,7
1979,4,6,,8,7
1979,4,7,,8,7
1979,4,8,,8,7
1979,4,9,,8,7
1979,4,10,,8,7
1979,4,11,,8,7
1979,4,12,,8,7
1979,4,13,,8,7
1979,4,14,,8,7
1979,4,15,,8,7
1979,4,16,,8,7
1979,4,17,,8,7
1979,4,18,,8,7
1979,4,19,,8,7
1979,4,20,,8,7
1979,4,21,,8,7
1979,4,22,,8,7
1979,4,23,,8,7
1979,4,24,225.0,8,7
1979,4,25,,8,7
1979,4,26,,8,7
1979,4,27,,8,7
1979,4,28,,8,7
1979,4,29,,8,7
1979,4,30,,8,7
1979,5,1,,8,7
1979,5,2,,8,7
1979,5,3,232.0,8,7
1979,5,4,,8,7
1979,5,5,,8,7
1979,5,6,,8,7
1979,5,7,,8,7
1979,5,8,,8,7
1979,5,9,,8,7
1979,5,10,,8,7
1979,5,11,,8,7
1979,5,12,,8,7
1979,5,13,,8,7
1979,5,14,,8,7
1979,5,15,,8,7
1979,5,16,,8,7
1979,5,17,,8,7
1979,5,18,,8,7
1979,5,19,,8,7
1979,5,20,,8,7
1979,5,21,,8,7
1979,5,22,,8,7
1979,5,23,,8,7
1979,5,24,,8,7
1979,5,25,,8,7
1979,5,26,,8,7
1979,5,27,,8,7
1979,5,28,,8,7
1979,5,29,,8,7
1979,5,30,,8,7
1979,5,31,,8,7
1979,6,1,,8,7
1979,6,2,,8,7
1979,6,3,,8,7
1979,6,4,,8,7
1979,6,5,,8,7
1979,6,6,,8,7
1979,6,7,,8,7
1979,6,8,,8,7
1979,6,9,,8,7
1979,6,10,,8,7
1979,6,11,,8,7
1979,6,12,,8,7
1979,6,13,,8,7
1979,6,14,,8,7
1979,6,15,,8,7
1979,6,16,,8,7
1979,6,17,,8,7
1979,6,18,,8,7
1979,6,19,,8,7
1979,6,20,,8,7
1979,6,21,,8,7
1979,6,22,,8,7
1979,6,23,,8,7
1979,6,24,,8,7
