measure_year,measure_month,measure_day,measure_value,quantity_id,location_id
2021,2,1,5662.2,5,5
2021,2,2,6001.0,5,5
2021,2,3,6451.3,5,5
2021,2,4,6724.1,5,5
2021,2,5,6893.5,5,5
2021,2,6,7155.9,5,5
2021,2,7,7273.5,5,5
2021,2,8,7337.3,5,5
2021,2,9,7311.4,5,5
2021,2,10,6910.7,5,5
2021,2,11,6174.9,5,5
2021,2,12,5387.4,5,5
2021,2,13,4695.1,5,5
2021,2,14,4114.0,5,5
2021,2,15,3658.4,5,5
2021,2,16,3316.5,5,5
2021,2,17,3127.6,5,5
2021,2,18,3009.9,5,5
2021,2,19,2975.9,5,5
2021,2,20,2978.0,5,5
2021,2,21,2962.9,5,5
2021,2,22,2913.4,5,5
2021,2,23,2810.9,5,5
2021,2,24,2665.6,5,5
2021,2,25,2518.6,5,5
2021,2,26,2415.2,5,5
2021,2,27,2319.0,5,5
2021,2,28,2238.2,5,5
2021,3,1,2171.2,5,5
2021,3,2,2109.5,5,5
2021,3,3,2035.0,5,5
2021,3,4,1981.3,5,5
2021,3,5,1992.1,5,5
2021,3,6,1935.1,5,5
2021,3,7,1913.8,5,5
2021,3,8,1909.4,5,5
2021,3,9,1893.3,5,5
2021,3,10,1867.3,5,5
2021,3,11,1855.0,5,5
2021,3,12,1850.6,5,5
2021,3,13,1869.3,5,5
2021,3,14,1918.9,5,5
2021,3,15,2023.2,5,5
2021,3,16,2271.2,5,5
2021,3,17,2476.9,5,5
2021,3,18,2617.0,5,5
2021,3,19,2673.6,5,5
2021,3,20,2645.3,5,5
2021,3,21,2557.3,5,5
2021,3,22,2400.4,5,5
2021,3,23,2283.9,5,5
2021,3,24,2164.3,5,5
2021,3,25,2060.5,5,5
2021,3,26,1968.9,5,5
2021,3,27,1917.7,5,5
2021,3,28,1875.8,5,5
2021,3,29,1828.1,5,5
2021,3,30,1811.4,5,5
2021,3,31,1803.3,5,5
2021,4,1,1786.1,5,5
2021,4,2,1751.3,5,5
2021,4,3,1709.9,5,5
2021,4,4,1676.1,5,5
2021,4,5,1680.2,5,5
2021,4,6,1685.6,5,5
2021,4,7,1694.0,5,5
2021,4,8,1701.3,5,5
2021,4,9,1663.1,5,5
2021,4,10,1621.2,5,5
2021,4,11,1646.9,5,5
2021,4,12,1705.1,5,5
2021,4,13,1805.3,5,5
2021,4,14,1920.8,5,5
2021,4,15,1920.5,5,5
2021,4,16,1875.2,5,5
2021,4,17,1805.0,5,5
2021,4,18,1717.1,5,5
2021,4,19,1652.8,5,5
2021,4,20,1608.5,5,5
2021,4,21,1559.2,5,5
2021,4,22,1490.8,5,5
2021,4,23,1434.5,5,5
2021,4,24,1394.1,5,5
2021,4,25,1340.9,5,5
