measure_year,measure_month,measure_day,measure_value,quantity_id,location_id
2021,2,1,1315.4,4,5
2021,2,2,1345.6,4,5
2021,2,3,1385.4,4,5
2021,2,4,1408.7,4,5
2021,2,5,1420.9,4,5
2021,2,6,1437.6,4,5
2021,2,7,1446.4,4,5
2021,2,8,1450.3,4,5
2021,2,9,1450.3,4,5
2021,2,10,1428.6,4,5
2021,2,11,1378.6,4,5
2021,2,12,1313.4,4,5
2021,2,13,1249.1,4,5
2021,2,14,1189.5,4,5
2021,2,15,1137.9,4,5
2021,2,16,1095.3,4,5
2021,2,17,1066.6,4,5
2021,2,18,1049.0,4,5
2021,2,19,1042.0,4,5
2021,2,20,1042.0,4,5
2021,2,21,1040.3,4,5
2021,2,22,1034.4,4,5
2021,2,23,1020.9,4,5
2021,2,24,1000.9,4,5
2021,2,25,978.7,4,5
2021,2,26,962.2,4,5
2021,2,27,949.1,4,5
2021,2,28,938.2,4,5
2021,3,1,928.8,4,5
2021,3,2,920.5,4,5
2021,3,3,909.9,4,5
2021,3,4,902.2,4,5
2021,3,5,902.6,4,5
2021,3,6,895.3,4,5
2021,3,7,891.3,4,5
2021,3,8,890.5,4,5
2021,3,9,888.6,4,5
2021,3,10,884.6,4,5
2021,3,11,882.7,4,5
2021,3,12,881.6,4,5
2021,3,13,883.9,4,5
2021,3,14,890.6,4,5
2021,3,15,903.9,4,5
2021,3,16,936.1,4,5
2021,3,17,965.0,4,5
2021,3,18,986.7,4,5
2021,3,19,997.3,4,5
2021,3,20,995.0,4,5
2021,3,21,983.5,4,5
2021,3,22,961.7,4,5
2021,3,23,944.7,4,5
2021,3,24,929.0,4,5
2021,3,25,914.2,4,5
2021,3,26,900.8,4,5
2021,3,27,892.4,4,5
2021,3,28,886.0,4,5
2021,3,29,880.2,4,5
2021,3,30,876.2,4,5
2021,3,31,874.6,4,5
2021,4,1,872.6,4,5
2021,4,2,867.3,4,5
2021,4,3,861.1,4,5
2021,4,4,855.5,4,5
2021,4,5,855.2,4,5
2021,4,6,856.2,4,5
2021,4,7,857.5,4,5
2021,4,8,858.5,4,5
2021,4,9,854.0,4,5
2021,4,10,846.8,4,5
2021,4,11,849.4,4,5
2021,4,12,857.9,4,5
2021,4,13,872.3,4,5
2021,4,14,889.9,4,5
2021,4,15,892.4,4,5
2021,4,16,886.3,4,5
2021,4,17,876.4,4,5
2021,4,18,863.0,4,5
2021,4,19,852.6,4,5
2021,4,20,844.9,4,5
2021,4,21,837.7,4,5
2021,4,22,826.5,4,5
2021,4,23,816.4,4,5
2021,4,24,809.5,4,5
2021,4,25,799.6,4,5
2021,4,26,788.6,4,5
2021,4,27,780.2,4,5
2021,4,28,773.1,4,5
2021,4,29,768.7,4,5
2021,4,30,764.7,4,5
2021,5,1,763.0,4,5
2021,5,2,768.0,4,5
2021,5,3,772.2,4,5
2021,5,4,781.6,4,5
2021,5,5,796.9,4,5
2021,5,6,817.8,4,5
2021,5,7,832.6,4,5
2021,5,8,839.6,4,5
2021,5,9,848.7,4,5
2021,5,10,865.6,4,5
2021,5,11,899.9,4,5
2021,5,12,907.6,4,5
2021,5,13,901.2,4,5
2021,5,14,899.5,4,5
2021,5,15,908.4,4,5
2021,5,16,920.9,4,5
2021,5,17,927.3,4,5
2021,5,18,930.0,4,5
2021,5,19,937.4,4,5
2021,5,20,950.2,4,5
2021,5,21,978.9,4,5
2021,5,22,997.4,4,5
2021,5,23,1002.8,4,5
2021,5,24,1003.8,4,5
2021,5,25,998.8,4,5
2021,5,26,1000.5,4,5
2021,5,27,1003.8,4,5
2021,5,28,1009.5,4,5
2021,5,29,1010.2,4,5
2021,5,30,999.1,4,5
2021,5,31,979.6,4,5
2021,6,1,955.5,4,5
