measure_year,measure_month,measure_day,measure_value,quantity_id,location_id
1946,3,1,4.0,8,8
1946,3,2,161.0,8,8
1946,3,3,34.0,8,8
1946,3,4,59.0,8,8
1946,3,5,71.0,8,8
1946,3,6,23.0,8,8
1946,3,7,6.0,8,8
1946,3,8,0.0,8,8
1946,3,9,345.0,8,8
1946,3,10,336.0,8,8
1946,3,11,16.0,8,8
1946,3,12,63.0,8,8
1946,3,13,20.0,8,8
1946,3,14,8.0,8,8
1946,3,15,64.0,8,8
1946,3,16,20.0,8,8
1946,3,17,46.0,8,8
1946,3,18,50.0,8,8
1946,3,19,322.0,8,8
1946,3,20,72.0,8,8
1946,3,21,227.0,8,8
1946,3,22,208.0,8,8
1946,3,23,257.0,8,8
1946,3,24,67.0,8,8
1946,3,25,308.0,8,8
1946,3,26,,8,8
1946,3,27,,8,8
1946,3,28,87.0,8,8
1946,3,29,77.0,8,8
1946,3,30,81.0,8,8
1946,3,31,74.0,8,8
1946,4,1,86.0,8,8
1946,4,2,87.0,8,8
1946,4,3,92.0,8,8
1946,4,4,12.0,8,8
1946,4,5,334.0,8,8
1946,4,6,10.0,8,8
1946,4,7,58.0,8,8
1946,4,8,273.0,8,8
1946,4,9,345.0,8,8
1946,4,10,22.0,8,8
1946,4,11,337.0,8,8
1946,4,12,311.0,8,8
1946,4,13,81.0,8,8
1946,4,14,85.0,8,8
1946,4,15,104.0,8,8
1946,4,16,101.0,8,8
1946,4,17,314.0,8,8
1946,4,18,256.0,8,8
1946,4,19,77.0,8,8
1946,4,20,91.0,8,8
1946,4,21,88.0,8,8
1946,4,22,59.0,8,8
1946,4,23,36.0,8,8
1946,4,24,320.0,8,8
1946,4,25,321.0,8,8
1946,4,26,129.0,8,8
1946,4,27,96.0,8,8
1946,4,28,270.0,8,8
1946,4,29,267.0,8,8
1946,4,30,35.0,8,8
1946,5,1,62.0,8,8
1946,5,2,82.0,8,8
1946,5,3,58.0,8,8
1946,5,4,70.0,8,8
1946,5,5,53.0,8,8
1946,5,6,65.0,8,8
1946,5,7,84.0,8,8
1946,5,8,345.0,8,8
1946,5,9,82.0,8,8
1946,5,10,98.0,8,8
1946,5,11,84.0,8,8
1946,5,12,98.0,8,8
1946,5,13,67.0,8,8
1946,5,14,355.0,8,8
1946,5,15,354.0,8,8
1946,5,16,302.0,8,8
1946,5,17,140.0,8,8
1946,5,18,212.0,8,8
1946,5,19,225.0,8,8
1946,5,20,43.0,8,8
1946,5,21,11.0,8,8
1946,5,22,24.0,8,8
1946,5,23,32.0,8,8
1946,5,24,74.0,8,8
1946,5,25,109.0,8,8
1946,5,26,270.0,8,8
1946,5,27,283.0,8,8
1946,5,28,139.0,8,8
1946,5,29,309.0,8,8
1946,5,30,245.0,8,8
1946,5,31,262.0,8,8
1946,6,1,245.0,8,8
1946,6,2,271.0,8,8
1946,6,3,275.0,8,8
1946,6,4,309.0,8,8
1946,6,5,294.0,8,8
1946,6,6,299.0,8,8
1946,6,7,81.0,8,8
1946,6,8,177.0,8,8
1946,6,9,283.0,8,8
1946,6,10,266.0,8,8
1946,6,11,271.0,8,8
1946,6,12,97.0,8,8
1946,6,13,55.0,8,8
1946,6,14,352.0,8,8
1946,6,15,294.0,8,8
1946,6,16,271.0,8,8
1946,6,17,285.0,8,8
1946,6,18,283.0,8,8
1946,6,19,281.0,8,8
1946,6,20,285.0,8,8
1946,6,21,47.0,8,8
1946,6,22,60.0,8,8
1946,6,23,41.0,8,8
1946,6,24,308.0,8,8
1946,6,25,187.0,8,8
1946,6,26,252.0,8,8
1946,6,27,287.0,8,8
1946,6,28,304.0,8,8
1946,6,29,329.0,8,8
1946,6,30,297.0,8,8
1946,7,1,17.0,8,8
1946,7,2,351.0,8,8
1946,7,3,348.0,8,8
1946,7,4,147.0,8,8
1946,7,5,336.0,8,8
